file;seed;initial examples;precision;recall;number iterations;not found;total values;time in sec
CountryHeadOfState.csv; -284600003;5;0.0;0.0;-999;185;210;1.8886444568634033
CountryHeadOfState.csv; -284600003;10;0.0;0.0;-999;181;210;1.8886444568634033
CountryToAreaSqKM.csv; 169078426;3;0.8370044052863436;0.8016877637130801;-999;10;241;49.360618591308594
CountryToAreaSqKM.csv; 169078426;5;0.8571428571428571;0.02553191489361702;-999;228;241;49.360618591308594
CountryToAreaSqKM.csv; 169078426;10;0.8497652582159625;0.7869565217391304;-999;17;241;49.360618591308594
CountryToCapital.csv;An error occured;201;10.555242538452148
CountryToCitizen.csv;An error occured;175;24.601375341415405
CountryToCountryCode.csv; -767516393;3;0.350210970464135;0.350210970464135;-999;0;241;30.814221382141113
CountryToCountryCode.csv; -767516393;5;0.811965811965812;0.8085106382978723;-999;1;241;30.814221382141113
CountryToCountryCode.csv; -767516393;10;0.8026315789473685;0.7956521739130434;-999;2;241;30.814221382141113
CountryToCurrencies.csv;An error occured;199;9.692579746246338
CountryToLanguage.csv;An error occured;136;9.375467538833618
CountryToThreeLettersISOCode.csv; -147510929;3;1.0;0.012658227848101266;-999;234;241;29.363041162490845
CountryToThreeLettersISOCode.csv; -147510929;5;1.0;0.03829787234042553;-999;226;241;29.363041162490845
CountryToThreeLettersISOCode.csv; -147510929;10;0.0;0.0;-999;230;241;29.363041162490845
CountryToTwoLettersISOCode.csv; -1430721583;3;0.0;0.0;-999;237;241;36.77273774147034
CountryToTwoLettersISOCode.csv; -1430721583;5;0.0;0.0;-999;235;241;36.77273774147034
CountryToTwoLettersISOCode.csv; -1430721583;10;0.0;0.0;-999;230;241;36.77273774147034
Countryy2TallBuildings_upto2013.csv;An error occured;96;3.201011896133423
CountryYear2HeadState_upTo2012.txt;An error occured;40;7.438160181045532
CountryYearGDPList.csv; -1418761939;3;0.0;0.0;-999;212;7491;21.460039377212524
CountryYearGDPList.csv; -1418761939;5;0.0;0.0;-999;211;7491;21.460039377212524
CountryYearGDPList.csv; -1418761939;10;0.0;0.0;-999;209;7491;21.460039377212524
CUSIPToCompanyName.csv; 2106895118;3;0.0;0.0;-999;7;11;3.0845835208892822
CUSIPToCompanyName.csv; 2106895118;5;0.0;0.0;-999;5;11;3.0845835208892822
CUSIPToCompanyName.csv; 2106895118;10;0.0;NaN;-999;0;11;3.0845835208892822
CUSIPToTicker.csv; -1591073268;3;1.0;0.5714285714285714;-999;3;11;4.040536642074585
CUSIPToTicker.csv; -1591073268;5;1.0;0.6;-999;2;11;4.040536642074585
CUSIPToTicker.csv; -1591073268;10;0.0;NaN;-999;0;11;4.040536642074585
Developer2Games_UpTo2013.csv;An error occured;451;4.32554292678833
DomainToPrimaryIP.csv; -1854366795;3;0.0;0.0;-999;7;11;1.947136402130127
DomainToPrimaryIP.csv; -1854366795;5;0.0;0.0;-999;5;11;1.947136402130127
DomainToPrimaryIP.csv; -1854366795;10;0.0;NaN;-999;0;11;1.947136402130127
