movie,actor,year,role
The Blues Brothers,Rosie Shuster,1980,Cocktail Waitress (as Rosie Schuster)
The Blues Brothers,Paul Reubens,1980,Waiter
The Blues Brothers,Ben Piazza,1980,Father
The Blues Brothers,Gwen Banta,1980,Mother
The Blues Brothers,Lari Taylor,1980,Daughter 1
The Blues Brothers,Cindy Fisher,1980,Daughter 2
The Blues Brothers,Elizabeth Hoy,1980,Daughter 3
The Blues Brothers,Tony M. Conde,1980,Sommelier
The Blues Brothers,Eugene J. Anthony,1980,Gruppenfuehrer
The Blues Brothers,Dean Hill,1980,Nazi
The Blues Brothers,Gary Houston,1980,Nazi
The Blues Brothers,Jack Orend,1980,Nazi
The Blues Brothers,Gene Schuldt,1980,Nazi
The Blues Brothers,Charles Mountain,1980,Cop
The Blues Brothers,John Lee Hooker,1980,Street Slim
The Blues Brothers,Walter Horton,1980,Tampa Pete
The Blues Brothers,Pinetop Perkins,1980,Luther Jackson (as 'Pinetop' Perkins)
The Blues Brothers,Willie 'Big Eyes' Smith,1980,Drums
The Blues Brothers,Luther 'Guitar Jr.' Johnson,1980,Guitar
The Blues Brothers,Calvin 'Fuzz' Jones,1980,Bass
The Blues Brothers,Carolyn Franklin,1980,Soul Food Chorus
The Blues Brothers,Brenda Bryant Corbett,1980,Soul Food Chorus
The Blues Brothers,Margaret Branch,1980,Soul Food Chorus
The Blues Brothers,De'voreaux White,1980,Young Guitar Thief (as Devoreaux White)
The Blues Brothers,Sheilah Wells,1980,Claire
The Blues Brothers,Lou Perryman,1980,Man at Bar (as Lou Perry)
The Blues Brothers,Stan Mazin,1980,Drunk Dancer
The Blues Brothers,Russ Bruzek,1980,The Good Ole Boys
The Blues Brothers,Blair Burrows,1980,The Good Ole Boys
The Blues Brothers,Jack Callahan,1980,The Good Ole Boys
The Blues Brothers,Gene Janson,1980,The Good Ole Boys
The Blues Brothers,Gil Pearson,1980,The Good Ole Boys
The Blues Brothers,Aaron Jais,1980,Orphan
The Blues Brothers,Lemetrius Daniels,1980,Orphan
The Blues Brothers,Jeff Cahill,1980,Orphan
The Blues Brothers,Curt Clendenin,1980,Orphan
The Blues Brothers,Steve Cruz,1980,Orphan
The Blues Brothers,Leonard Daniels,1980,Orphan
The Blues Brothers,Sean Hayden,1980,Orphan
The Blues Brothers,Babatunde Myers,1980,Orphan
The Blues Brothers,Gary Patzik,1980,Orphan
The Blues Brothers,J. Bernard Walton,1980,Orphan
The Blues Brothers,Butch Williams,1980,Orphan
The Blues Brothers,Wally Engelhardt,1980,Gas Station Owner
The Blues Brothers,Michael Klenfner,1980,Clarion Records' President
The Blues Brothers,Ralph Foody,1980,Police Dispatcher
The Blues Brothers,Leonard R. Garner Jr.,1980,Lobby Guard 1 (as Lenny Garner)
The Blues Brothers,Andrew Goodman,1980,Lobby Guard 2
The Blues Brothers,Eddy Donno,1980,SWAT Team Commander (as Edward Donno)
The Blues Brothers,Steven Spielberg,1980,Cook County Assessor's Office Clerk
The Blues Brothers,Joe Walsh,1980,Prisoner
The Blues Brothers,Shirley Levine,1980,Woman on Cutting Room Floor
Memento,Guy Pearce,2000,Leonard
Memento,Carrie-Anne Moss,2000,Natalie
Memento,Joe Pantoliano,2000,Teddy
Memento,Mark Boone Junior,2000,Burt
Memento,Russ Fega,2000,Waiter
Memento,Jorja Fox,2000,Leonard's Wife
Memento,Stephen Tobolowsky,2000,Sammy Jankis
Memento,Harriet Sansom Harris,2000,Mrs. Jankis
Memento,Thomas Lennon,2000,Doctor
Memento,Callum Keith Rennie,2000,Dodd
Memento,Kimberly Campbell,2000,Blonde
Memento,Marianne Muellerleile,2000,Tattooist
