Year,Laureate,Field
1901,Jean Henry Dunant ,The Nobel Peace Prize
2014,Jean Tirole ,Economic Sciences
2008,Jean-Marie Gustave Le Clézio ,Literature
1987,Jean-Marie Lehn ,Chemistry
1964,Jean-Paul Sartre ,Literature
1997,Jens C. Skou ,Chemistry
1990,Jerome I. Friedman ,Physics
1985,Jerome Karle ,Chemistry
2002,Jimmy Carter ,The Nobel Peace Prize
1997,Jody Williams ,The Nobel Peace Prize
1988,Johann Deisenhofer ,Chemistry
1905,Johann Friedrich Wilhelm Adolf von Baeyer ,Chemistry
1926,Johannes Andreas Grib Fibiger ,Physiology or Medicine
1910,Johannes Diderik van der Waals ,Physics
1919,Johannes Stark ,Physics
1944,Johannes Vilhelm Jensen ,Literature
1998,John A. Pople ,Chemistry
2002,John B. Fenn ,Chemistry
1972,John Bardeen ,Physics
1956,John Bardeen ,Physics
1994,John C. Harsanyi ,Economic Sciences
2006,John C. Mather ,Physics
1986,John C. Polanyi ,Chemistry
1962,John Cowdery Kendrew ,Chemistry
2002,John E. Sulston ,Physiology or Medicine
1997,John E. Walker ,Chemistry
1994,John F. Nash Jr. ,Economic Sciences
1954,John Franklin Enders ,Physiology or Medicine
1932,John Galsworthy ,Literature
1977,John Hasbrouck van Vleck ,Physics
1946,John Howard Northrop ,Chemistry
1998,John Hume ,The Nobel Peace Prize
1923,John James Rickard Macleod ,Physiology or Medicine
2005,John L. Hall ,Physics
2003,John M. Coetzee ,Literature
2014,John O'Keefe ,Physiology or Medicine
1972,John R. Hicks ,Economic Sciences
1982,John R. Vane ,Physiology or Medicine
1946,John Raleigh Mott ,The Nobel Peace Prize
1972,John Robert Schrieffer ,Physics
1962,John Steinbeck ,Literature
1975,John Warcup Cornforth ,Chemistry
1904,José Echegaray y Eizaguirre ,Literature
1996,José Ramos-Horta ,The Nobel Peace Prize
1998,José Saramago ,Literature
1987,Joseph Brodsky ,Literature
1990,Joseph E. Murray ,Physiology or Medicine
2001,Joseph E. Stiglitz ,Economic Sciences
1944,Joseph Erlanger ,Physiology or Medicine
1993,Joseph H. Taylor Jr. ,Physics
1906,Joseph John Thomson ,Physics
1985,Joseph L. Goldstein ,Physiology or Medicine
1995,Joseph Rotblat ,The Nobel Peace Prize
1958,Joshua Lederberg ,Physiology or Medicine
1956,Juan Ramón Jiménez ,Literature
2011,Jules A. Hoffmann ,Physiology or Medicine
1919,Jules Bordet ,Physiology or Medicine
1965,Julian Schwinger ,Physics
1970,Julius Axelrod ,Physiology or Medicine
1927,Julius Wagner-Jauregg ,Physiology or Medicine
1987,K. Alexander Müller ,Physics
2001,K. Barry Sharpless ,Chemistry
1981,Kai M. Siegbahn ,Physics
2014,Kailash Satyarthi ,The Nobel Peace Prize
1917,Karl Adolph Gjellerup ,Literature
1909,Karl Ferdinand Braun ,Physics
1921,Karl Hjalmar Branting ,The Nobel Peace Prize
1930,Karl Landsteiner ,Physiology or Medicine
1924,Karl Manne Georg Siegbahn ,Physics
1973,Karl von Frisch ,Physiology or Medicine
1963,Karl Ziegler ,Chemistry
1993,Kary B. Mullis ,Chemistry
1981,Kenichi Fukui ,Chemistry
1982,Kenneth G. Wilson ,Physics
1972,Kenneth J. Arrow ,Economic Sciences
1994,Kenzaburo Oe ,Literature
2000,Kim Dae-jung ,The Nobel Peace Prize
1908,Klas Pontus Arnoldson ,The Nobel Peace Prize
1985,Klaus von Klitzing ,Physics
1920,Knut Pedersen Hamsun ,Literature
2001,Kofi Annan ,The Nobel Peace Prize
2002,Koichi Tanaka ,Chemistry
1964,Konrad Bloch ,Physiology or Medicine
1973,Konrad Lorenz ,Physiology or Medicine
2010,Konstantin Novoselov ,Physics
1950,Kurt Alder ,Chemistry
2002,Kurt Wüthrich ,Chemistry
1930,Lars Olof Jonathan (Nathan) Söderblom ,The Nobel Peace Prize
1968,Lars Onsager ,Chemistry
2013,Lars Peter Hansen ,Economic Sciences
1980,Lawrence R. Klein ,Economic Sciences
1973,Le Duc Tho ,The Nobel Peace Prize
1983,Lech Walesa ,The Nobel Peace Prize
2001,Leland H. Hartwell ,Physiology or Medicine
1973,Leo Esaki ,Physics
1975,Leo James Rainwater ,Physics
1951,Léon Jouhaux ,The Nobel Peace Prize
1988,Leon M. Lederman ,Physics
1972,Leon Neil Cooper ,Physics
1920,Léon Victor Auguste Bourgeois ,The Nobel Peace Prize
2007,Leonid Hurwicz ,Economic Sciences
1975,Leonid Vitaliyevich Kantorovich ,Economic Sciences
1939,Leopold Ruzicka ,Chemistry
1957,Lester Bowles Pearson ,The Nobel Peace Prize
1962,Lev Davidovich Landau ,Physics
2011,Leymah Gbowee ,The Nobel Peace Prize
1963,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies) ,The Nobel Peace Prize
