game,release date,developer
WTA Tour Tennis,28/9/2002,Konami Computer Entertainment Osaka (KCEO
Frogger: Helmet Chaos,27/9/2005,"Konami Digital Entertainment, Inc. (KDEI"
The Legend of Spyro: A New Beginning,13/10/2006,Krome Studios
King Arthur,16/11/2004,Krome Studios
Hellboy: The Science of Evil,24/6/2008,Krome Studios
Strike Force Bowling,22/3/2005,Lab Rats Games
NBA Courtside 2002,15/1/2002,Left Field Productions
World Series of Poker,15/9/2005,Left Field Productions
World Series of Poker,20/9/2005,Left Field Productions
MTX: Mototrax,29/6/2006,Left Field Productions
Gladius,29/9/2003,LucasArts Entertainment Company
Shrek 2,28/4/2004,Luxoflux
Shrek: Super Party,27/5/2003,Mass Media Inc
The Sims 2,13/12/2005,Maxis
The Sims Bustin' Out,16/12/2003,Maxis
The Sims 2: Pets,17/10/2006,Maxis
The Sims 2,25/10/2005,Maxis
Freaky Flyers,18/8/2003,Midway Home Entertainment
Mortal Kombat: Deadly Alliance,19/11/2002,Midway Home Entertainment
Dr. Muto,20/12/2002,Midway Home Entertainment
Dora the Explorer: Journey to the Purple Planet,13/10/2005,Monkey Bar Games
Baten Kaitos Origins,26/9/2006,"Monolith Software, Inc"
NASCAR: Dirt to Daytona,13/11/2002,"Monster Games, Inc"
Jackass: The Game,26/9/2007,MPS Labs
Geist,16/8/2005,"n-Space, Inc"
Mary-Kate and Ashley: Sweet 16 -- Licensed to Drive,26/11/2002,"n-Space, Inc"
Ridge Racer,24/3/2005,Namco
Tekken: Dark Resurrection,25/7/2006,Namco
Gunpey,16/11/2006,"Namco Bandai Games America, Inc"
Ace Combat X: Skies of Deception,24/10/2006,"Namco Bandai Games America, Inc"
MotoGP,26/9/2006,"Namco Bandai Games America, Inc"
Snoopy vs. The Red Baron,24/10/2006,"Namco Hometek, Inc"
Dead to Rights,26/11/2002,"Namco Hometek, Inc"
Star Fox: Assault,14/2/2005,Namco Ltd
Donkey Konga,27/9/2004,Namco Ltd
Pac-Man World 2,14/3/2002,Namco Ltd
Soul Calibur II,26/8/2003,Namco Ltd
Tales of Symphonia,13/7/2004,Namco Tales Studio
Harvest Moon: A Wonderful Life,16/3/2004,Natsume Inc
Tube Slider,25/3/2003,"NDCUBE Co., Ltd"
Code Lyoko: Quest for Infinity,17/7/2008,Neko Entertainment
Tony Hawk's Pro Skater 3,18/11/2001,Neversoft Entertainment
Tony Hawk's Project 8,21/11/2006,Neversoft Entertainment
