Game,Year,Developer
Far Cry: Vengeance,2006,Ubisoft
GT Pro Series,2006,Ubisoft
Heroes of Might and Magic V,2006,Ubisoft
Heroes of Might and Magic V: Hammers of Fate,2006,Ubisoft
Import Tuner Challenge,2006,Ubisoft
Lost Magic,2006,Ubisoft
Monster 4x4 World Circuit,2006,Ubisoft
Open Season,2006,Ubisoft
Paradise,2006,Ubisoft
Rayman Raving Rabbids,2006,Ubisoft
Red Steel,2006,Ubisoft
Star Wars: Lethal Alliance,2006,Ubisoft
Street Riders,2006,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfighter,2006,Ubisoft
Tom Clancy's Rainbow Six: Critical Hour,2006,Ubisoft
Tom Clancy's Rainbow Six: Vegas,2006,Ubisoft
Tom Clancy's Splinter Cell: Essentials,2006,Ubisoft
Tom Clancy's Splinter Cell: Double Agent,2006,Ubisoft
Assassin's Creed,2007,Ubisoft
America's Army: True Soldiers,2007,Ubisoft
Beowulf: The Game,2007,Ubisoft
Blazing Angels 2: Secret Missions of WWII,2007,Ubisoft
Beowulf: The Game,2007,Ubisoft
Cranium Kabookii,2007,Ubisoft
CSI: Hard Evidence,2007,Ubisoft
The Dog Island,2007,Ubisoft
Driver: Parallel Lines,2007,Ubisoft
Driver 76,2007,Ubisoft
Heroes of Might and Magic V: Tribes of the East,2007,Ubisoft
Imagine: Animal Doctor,2007,Ubisoft
Imagine: Babyz,2007,Ubisoft
Imagine: Fashion Designer,2007,Ubisoft
Imagine: Figure Skater,2007,Ubisoft
Imagine: Master Chef,2007,Ubisoft
My French Coach,2007,Ubisoft
My French Coach Level 2: Intermediate,2007,Ubisoft
My Spanish Coach,2007,Ubisoft
My Spanish Coach Level 2: Intermediate,2007,Ubisoft
My Word Coach,2007,Ubisoft
My Dutch Coach,2007,Ubisoft
Naruto: Rise of a Ninja,2007,Ubisoft
No More Heroes,2007,Ubisoft
Pawly Pets: My Animal Hospital,2007,Ubisoft
Petz Dogz 2,2007,Ubisoft
Petz Catz 2,2007,Ubisoft
Prince of Persia: Rival Swords,2007,Ubisoft
Rayman Raving Rabbids 2,2007,Ubisoft
Real Football 2008,2007,Ubisoft
Resident Evil 4,2007,Ubisoft
Rocky Balboa,2007,Ubisoft
Silent Hunter 4: Wolves of the Pacific,2007,Ubisoft
Strategoÿ- Next Edition,2007,Ubisoft
Surf's Up,2007,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007,Ubisoft
The Settlers II 10th Anniversary,2007,Ubisoft
The Settlers: Rise of an Empire,2007,Ubisoft
TMNT,2007,Ubisoft
World in Conflict,2007,Ubisoft
Armored Core: For Answer,2008,Ubisoft
Armored Core: for Answer,2008,Ubisoft
Battle of Giants: Dinosaurs,2008,Ubisoft
Brothers in Arms: Hell's Highway,2008,Ubisoft
Casar Millan's The Dog Whisperer,2008,Ubisoft
Circus Games,2008,Ubisoft
CSI: NY,2008,Ubisoft
Dark Messiah of Might and Magic: Elements,2008,Ubisoft
Emergency Heroes,2008,Ubisoft
Ener-G,2008,Ubisoft
Far Cry 2,2008,Ubisoft
Haze,2008,Ubisoft
Imagine Fashion Party,2008,Ubisoft
Imagine: Party Babyz,2008,Ubisoft
Lost: Via Domus,2008,Ubisoft
Movie Games,2008,Ubisoft
My Fun Facts Coach,2008,Ubisoft
My Japanese Coach,2008,Ubisoft
My Chinese Coach,2008,Ubisoft
My Life Coach,2008,Ubisoft
My SAT Coach,2008,Ubisoft
My Weight Loss Coach,2008,Ubisoft
Naruto: The Broken Bond,2008,Ubisoft
Petz: Crazy Monkeyz,2008,Ubisoft
Petz: Horsez Club,2008,Ubisoft
Petz: Rescue Wildlife Vet,2008,Ubisoft
Petz Sports: Dog Playground,2008,Ubisoft
Prince of Persia,2008,Ubisoft
Rayman Raving Rabbids TV Party,2008,Ubisoft
Shaun White Snowboarding,2008,Ubisoft
Silent Hunter IV: U-Boat Mission,2008,Ubisoft
Tom Clancy's Rainbow Six: Vegas 2,2008,Ubisoft
Totally Spies! Totally Party,2008,Ubisoft
TV Show King Party,2008,Ubisoft
100 All-Time Favorites,2009,Ubisoft
Academy of Champions,2009,Ubisoft
Anno 1404,2009,Ubisoft
Assassin's Creed II,2009,Ubisoft
Assassin's Creed: Bloodlines,2009,Ubisoft
Assassin's Creed: Alta‹r's Chronicles,2009,Ubisoft
Asterix: These Romans are Crazy!,2009,Ubisoft
Battle of Giants: Dragons,2009,Ubisoft
Battle of Giants: Dragons Bronze Edition,2009,Ubisoft
C.O.P.: The Recruit,2009,Ubisoft
Call of Juarez: Bound in Blood,2009,Ubisoft
Cloudy with a Chance of Meatballs,2009,Ubisoft
Cover Girl,2009,Ubisoft
CSI: Deadly Intent,2009,Ubisoft
Grey's Anatomy: The Video Game,2009,Ubisoft
Hamsterz Life 2,2009,Ubisoft
Imagine: Gymnast,2009,Ubisoft
James Cameron's Avatar: The Game,2009,Ubisoft
Just Dance,2009,Ubisoft
Just Dance Kids,2009,Ubisoft
Rabbids Go Home,2009,Ubisoft
Shaun White Snowboarding: World Stage,2009,Ubisoft
Style Lab: Makeover,2009,Ubisoft
Tenchu: Shadow Assassins,2009,Ubisoft
Tom Clancy's H.A.W.X,2009,Ubisoft
Teenage Mutant Ninja Turtles: Smash-Up,2009,Ubisoft
Velvet Assassin,2009,Ubisoft
Wheelman,2009,Ubisoft
World in Conflict: Soviet Assault,2009,Ubisoft
World in Conflict: Complete Edition,2009,Ubisoft
Your Shape,2009,Ubisoft
Assassin's Creed: Brotherhood,2010,Ubisoft
Battle Tag,2010,Ubisoft
Battle of Giants: Dinosaurs Fight for Survival,2010,Ubisoft
Battle of Giants: Mutant Insects,2010,Ubisoft
Battle of Giants: Mutant Insects Revenge,2010,Ubisoft
CSI: Fatal Conspiracy,2010,Ubisoft
Just Dance 2,2010,Ubisoft
Michael Jackson: The Experience,2010,Ubisoft
No More Heroes 2: Desperate Struggle,2010,Ubisoft
Prince of Persia: The Forgotten Sands,2010,Ubisoft
Pure Football,2010,Ubisoft
Racket Sports,2010,Ubisoft
Raving Rabbids Travel In Time,2010,Ubisoft
Red Record: Ryan Duguid's Story,2010,Ubisoft
Red Steel 2,2010,Ubisoft
R.U.S.E.,2010,Ubisoft
Scott Pilgrim vs. the World: The Game,2010,Ubisoft
Shaun White Skateboarding,2010,Ubisoft
Tom Clancy's H.A.W.X 2,2010,Ubisoft
Tom Clancy's Ghost Recon Predator,2010,Ubisoft
Tom Clancy's Splinter Cell: Conviction,2010,Ubisoft
The Settlers 7: Paths to a Kingdom,2010,Ubisoft
ABBA: You Can Dance,2011,Ubisoft
Animaniacs,2011,Ubisoft
The Adventures of Tintin: The Secret of the Unicorn,2011,Ubisoft
Anno 2070,2011,Ubisoft
Assassin's Creed: Revelations,2011,Ubisoft
Call of Juarez: The Cartel,2011,Ubisoft
Cubic Ninja,2011,Ubisoft
Driver: Renegade 3D,2011,Ubisoft
Driver: San Francisco,2011,Ubisoft
Dungeon Hunter: Alliance,2011,Ubisoft
From Dust,2011,Ubisoft
IL-2 Sturmovik: Cliffs of Dover,2011,Ubisoft
James Noir's Hollywood Crimes,2011,Ubisoft
Just Dance Summer Party,2011,Ubisoft
Just Dance 3,2011,Ubisoft
Just Dance Kids 2,2011,Ubisoft
Might & Magic: Heroes VI,2011,Ubisoft
NCIS: The Game,2011,Ubisoft
Outland,2011,Ubisoft
Rayman 3D,2011,Ubisoft
Rayman Origins,2011,Ubisoft
Rabbids Go Home 2: World Tour Crazy Adventures,2011,Ubisoft
Raving Rabbids Alive & Kicking,2011,Ubisoft
Tom Clancy's Ghost Recon: Shadow Wars,2011,Ubisoft
The Adventures of Tintin,2011,Ubisoft
The Smurfs Dance Party,2011,Ubisoft
The Smurfs,2011,Ubisoft
Zeitý,2011,Ubisoft
Assassin's Creed III,2012,Ubisoft
Assassin's Creed III: Liberation,2012,Ubisoft
Babel Rising 3D,2012,Ubisoft
ESPN Sports Connection,2012,Ubisoft
Far Cry 3,2012,Ubisoft
I Am Alive,2012,Ubisoft
Just Dance: Best Of,2012,Ubisoft
Just Dance 4,2012,Ubisoft
Lumines Electronic Symphony,2012,Ubisoft
Marvel Avengers: Battle for Earth,2012,Ubisoft
Mad Riders,2012,Ubisoft
Rabbids Matter of Party,2012,Ubisoft
Rabbids Land,2012,Ubisoft
Rabbids Rumble,2012,Ubisoft
Rocksmith,2012,Ubisoft
Shoot Many Robots,2012,Ubisoft
