game,release date,publisher
World Tour Soccer,24/3/2005,Sony
Sonic Gems Collection,16/8/2005,Sega
Sonic Rivals,21/11/2006,Sega
Amazing Island,25/8/2004,Sega
Virtua Tennis 3,28/3/2007,Sega
Shadow the Hedgehog,15/11/2005,Sega
Tony Hawk's Underground 2: Remix,24/3/2005,Activision
Enter the Matrix,15/5/2003,Atari
Eternal Darkness: Sanity's Requiem,24/6/2002,Nintendo
Mark Davis Pro Bass Challenge,20/9/2005,Natsume
Pac-Man World Rally,22/8/2006,"Namco Bandai Games America, Inc"
Pac-Man World Rally,22/8/2006,"Namco Bandai Games America, Inc"
"SNK Arcade Classics, Vol. 1",29/4/2008,SNK Playmore
Metal Slug Anthology,20/2/2007,SNK Playmore USA
Sonic Adventure 2 Battle,13/2/2002,Sega
Phantasy Star Online: Episodes I & II -- Plus,15/9/2004,Sega
Sonic Adventure DX: Director's Cut,17/6/2003,Sega
Puyo Pop Fever,23/7/2004,Sega
Phantasy Star Online Episode I & II,30/10/2002,Sega
Wipeout Pure,24/3/2005,Sony
ATV Offroad Fury: Pro,26/10/2006,Sony
NBA 07,26/9/2006,Sony
World Tour Soccer '06,27/6/2006,Sony
Ape Escape Academy,17/1/2006,Sony
Untold Legends: Brotherhood of the Blade,24/3/2005,Sony Online Entertainment
ProStroke Golf: World Tour 2007,25/6/2007,SouthPeak Interactive
Call of Duty: Finest Hour,27/10/2004,Activision
Crisis Core: Final Fantasy VII,25/3/2008,Square Enix USA
Rocky,15/11/2002,Ubisoft Entertainment
The Lord of the Rings: The Two Towers,31/12/2002,EA
OutRun 2006: Coast 2 Coast,25/4/2006,Sega
Spelling Challenges and More,25/9/2007,Crave
Dungeon Siege: Throne of Agony,31/10/2006,2K Games
The Lord of the Rings: The Fellowship of the Ring,31/12/1969,Universal Interactive
Metal Arms: Glitch in the System,20/11/2003,Sierra
Space Invaders Extreme,17/6/2008,Taito
Taito Legends Power-Up,17/5/2007,Destineer
Worms Blast,23/10/2002,Ubisoft Entertainment
Worms: Open Warfare,23/3/2006,THQ
NFL Street 2 Unleashed,24/3/2005,EA Sports Big
NBA Street Showdown,25/4/2005,EA Sports Big
MVP Baseball,17/5/2005,EA
Go! Go! Hypergrind,18/11/2003,"Atlus U.S.A., Inc"
Swingerz Golf,24/10/2002,Eidos Interactive
BloodRayne,16/10/2002,Majesco
Alien Hominid,23/11/2004,O3 Entertainment
The Con,18/10/2005,Sony
"SpongeBob SquarePants: Lights, Camera, Pants",20/10/2005,THQ
The Incredibles,29/10/2004,THQ
NFL Street 3,14/11/2006,EA Sports Big
Madden NFL 08,14/8/2007,EA
Madden NFL 08,14/8/2007,EA
Madden NFL 2002,18/11/2001,EA
Zoids: Battle Legends,14/9/2004,Atari
Madagascar,24/5/2005,Activision
LEGO Batman: The Videogame,23/9/2008,Warner Bros.  Interactive
Finding Nemo,14/5/2003,THQ
WRC: World Rally Championship,18/4/2006,"Namco Bandai Games America, Inc"
Bionicle Heroes,14/11/2006,Eidos Interactive
LEGO Star Wars: The Video Game,25/10/2005,Eidos Interactive
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe",15/11/2005,Buena Vista Games Inc
Ikaruga,15/4/2003,Infogrames
Spider-Man,17/4/2002,Activision
Kelly Slater's Pro Surfer,18/9/2002,Activision
Tom Clancy's Splinter Cell: Double Agent,24/10/2006,Ubisoft Entertainment
Rayman Arena,25/9/2002,Ubisoft Entertainment
Disney's Donald Duck: Goin' Quackers,27/3/2002,Ubisoft Entertainment
Disney's Tarzan: Untamed,16/11/2001,Ubisoft Entertainment
Shaun White Snowboarding,16/11/2008,Ubisoft Entertainment
Batman: Vengeance,18/11/2001,Ubisoft Entertainment
Open Season,19/9/2006,Ubisoft Entertainment
Tom Clancy's Splinter Cell: Essentials,21/3/2006,Ubisoft Entertainment
XIII,25/11/2003,Ubisoft Entertainment
The Sum of All Fears,15/1/2003,Ubisoft Entertainment
Star Wars: Jedi Knight II -- Jedi Outcast,15/11/2002,LucasArts
Spider-Man 2,24/3/2005,Activision
Marvel Trading Card Game,27/2/2007,Konami
Dead Head Fred,28/8/2007,D3Publisher of America
Justice League Heroes,28/11/2006,Warner Brothers Interactive
NBA 2K2,20/3/2002,Sega
NFL 2K3,21/8/2002,Sega
NBA 2K3,26/11/2002,Sega
World Poker Tour,18/4/2006,2K Sports
F1 2002,25/6/2002,EA
Spirits & Spells,24/9/2003,Dreamcatcher
Animaniacs: The Great Edgar Hunt,20/9/2005,Ignition Entertainment
Looney Tunes: Back in Action,24/11/2003,EA
Rally Championship,15/7/2003,Conspiracy Entertainment Corporation
Home Run King,20/3/2002,Sega
Hello Kitty: Roller Rescue,16/8/2005,"Namco Bandai Games America, Inc"
WWE SmackDown vs. Raw 2006,15/12/2005,THQ
WWE Day of Reckoning 2,30/8/2005,THQ
WWE: Day of Reckoning,31/8/2004,THQ
X-Men: The Official Game,16/5/2006,Activision
Dave Mirra Freestyle BMX 2,17/11/2001,Acclaim
